"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Aruba","314","Extensive Margin","between_theil","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.85780429956503","0.0753738954663277","0.153915897175466","0.0969298365525901","0.151739674001874","0.159137736020057","0.136167751879839","0.152933337801301","0.160599141835348","0.151296171393852","0.148726569245809","0.137783540914825","0.140238132402374","0.157453986837027","0.0968136035371572","0.18101936444873","0.199187324536979","0.059560663998127","0.166673947486201","0.149586148308572","0.146131255282225","0.145249768194844","0.144235340302034","0.142485618591309","0.147954372238559","0.146087849734146","0.142485618591309",
"Aruba","314","Intensive Margin","within_theil","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.60849210619927","3.53719258308411","4.14518392831087","4.37634202837944","4.32523917220533","4.50389269005973","4.70995015976951","4.66997227113461","4.73493377678096","4.70342308425461","4.56575591780711","4.3627725020051","3.70484417676926","3.60923328413628","3.51120087504387","3.38392156455666","3.58972010039724","2.95204782485962","3.15267675566065","3.06945663975785","3.18429664806172","3.26530323477982","2.60635733604431","3.36622142791748","3.62641077830631","3.99510911726247","4.56674766540527",
"Aruba","314","Export Diversification Index","total_theil","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4662962","3.6125665","4.2990999","4.4732718","4.4769788","4.6630306","4.846118","4.8229055","4.8955331","4.8547192","4.7144823","4.500556","3.8450823","3.7666872","3.6080146","3.5649409","3.7889075","3.0116086","3.3193507","3.2190428","3.3304279","3.410553","2.7505927","3.508707","3.7743652","4.1411972","4.7092333",
"Afghanistan, Islamic Republic of","512","Extensive Margin","between_theil","Value","2.39470052719116","2.36808924868092","2.36769567236404","2.34359247012253","2.3513507058033","2.06647273770068","1.78456134017378","1.55955511376783","1.28998996385781","1.32820310199321","1.0293409587398","1.33639701331867","1.18883235206977","0.817325381458431","1.27463832131116","1.96763425987203","1.85844186429267","1.52120696292123","1.92643696455094","1.33961126210488","1.8044983088181","2.19860957551665","2.11015269789368","2.10582750220783","2.0879429774281","2.06226693569374","2.07118433657388","2.0700339728221","2.05236092870837","1.90431089366393","1.86762289969829","1.40350148671769","1.80963504994361","1.27503770883959","0.649059872877842","0.85108523258009","0.79655674539481","1.11108422167126","1.31503176391152","0.982557649205773","1.1348131416855","0.532571806463466","1.22765459812803","0.978431873066711","1.49537306040521","0.963080118614016","0.874777304474264","0.0737463531959293","0.940794793561508","0.708669581072897","1.0463047565326","1.29625198421403","1.05356219410896",
"Afghanistan, Islamic Republic of","512","Intensive Margin","within_theil","Value","2.02911567687988","2.15868530608714","1.99421445730644","2.02448610531428","2.01394944370259","1.74730321206152","2.36953560398592","2.41070737305563","2.51100157387555","2.54417898405518","2.67517002247041","2.33970922027947","2.49882916803472","2.64989784825593","2.32866159384139","1.81999063756666","1.79528281092536","2.13903969526246","2.14979048799775","2.25095641617666","1.92133795926202","1.72801459727452","1.58579188818112","1.63352268654853","1.64777532906737","1.768145273556","1.86194834375056","2.08317880998948","1.99101950414479","1.95435000909492","1.84963402536232","1.94231825903989","2.4871167903766","2.08131285663694","2.41870689019561","1.85908914050378","2.13934466405772","1.97411148808897","2.00085731403669","1.82662173360586","1.67331840307452","2.48421498987591","1.77594296608004","1.93433454539627","1.57809787298174","1.90142080187798","1.8196262717247","2.12225041544298","1.82541258493438","2.22759861816849","2.09797306716973","1.87701453147019","2.23355376720429",
"Afghanistan, Islamic Republic of","512","Export Diversification Index","total_theil","Value","4.4238162","4.5267744","4.3619103","4.3680787","4.3653002","3.813776","4.1540971","3.9702625","3.8009915","3.8723822","3.7045109","3.6761062","3.6876614","3.4672232","3.6032999","3.7876248","3.6537247","3.6602466","4.0762277","3.5905676","3.7258363","3.9266241","3.6959445","3.7393501","3.7357183","3.8304121","3.9331326","4.1532125","4.0433803","3.8586609","3.717257","3.3458197","4.296752","3.3563507","3.0677667","2.7101743","2.9359014","3.0851958","3.3158891","2.8091793","2.8081315","3.0167868","3.0035975","2.9127665","3.0734708","2.864501","2.6944036","2.1959968","2.7662075","2.9362681","3.1442778","3.1732664","3.2871161",
"Angola","614","Extensive Margin","between_theil","Value","1.1494847536087","0.964909790549427","0.72185246925801","0.635705088908992","0.517563073489129","0.558321921201411","0.686714309587842","0.465822470556304","0.283902486264879","0.290717033298072","0.24355692550813","0.256085381275966","0.104642920346596","0.0269767586141825","0.0271809212863445","0.0642300909385085","0.0616224952012248","0.132378235014158","0.235278393937044","0.300929165416738","0.383365537901661","0.399286779747974","0.402709378152319","0.428764367215994","0.394971878012704","0.42178614448563","0.427210269911129","0.432898998395671","0.459436165051407","0.441335191815239","0.443083183634729","0.455904239299393","0.4283779382462","0.432904947175415","0.446430191389623","0.432490646953827","0.432455078858368","0.458792329582735","0.488806957384908","0.478739550940728","0.498632294756037","0.478971138352212","0.48429667692036","0.478030965941369","0.467370271980536","0.434816880454101","0.471143400650395","0.458317058363501","0.466266913623476","0.466890458071784","0.468831995963623","0.465776821499032","0.455066574621014",
"Angola","614","Intensive Margin","within_theil","Value","3.03982496261597","3.32294800877571","3.30921709537506","3.58048729707662","3.79307492999942","3.78242359723663","3.09537787176669","3.4209164083004","3.6035479491693","3.61928856680061","3.54794070860953","3.53441927942913","3.88721574022939","4.32496309280396","5.0070526599884","5.0219886302948","5.01226019859211","5.29610367800342","5.51568407438754","5.52772936224937","5.70292261074064","5.61748761054696","5.68934532992142","5.74513606534083","5.67610525302734","5.58808072656401","5.4890807301781","5.52164565182981","5.55552908858954","5.73492996394628","5.60265114985305","5.62727906196051","5.61033150364347","5.56946440555248","5.60233004981308","5.55865505870679","5.4496965419703","5.44475088470972","5.60758024289316","5.59048757582082","5.61504507482096","5.76480572087141","5.84632401707859","5.76748439230232","5.82796555660548","5.77712970830544","5.84438266866982","5.81976001181488","5.78958585657458","5.78807972533309","5.63738245153218","5.66103062154193","5.75770056992769",
"Angola","614","Export Diversification Index","total_theil","Value","4.1893096","4.287858","4.0310698","4.2161922","4.310638","4.3407454","3.7820921","3.8867388","3.8874505","3.9100056","3.7914977","3.7905047","3.9918587","4.3519397","5.0342336","5.0862188","5.0738826","5.4284821","5.7509623","5.8286586","6.086288","6.0167742","6.0920548","6.1739006","6.0710773","6.0098667","5.9162912","5.9545445","6.0149651","6.1762652","6.0457344","6.0831833","6.0387096","6.0023694","6.0487604","5.9911456","5.8821516","5.903543","6.0963874","6.0692272","6.1136775","6.2437768","6.3306208","6.2455153","6.2953358","6.2119465","6.315526","6.2780771","6.2558527","6.2549701","6.1062145","6.1268072","6.2127671",
"Anguilla","312","Extensive Margin","between_theil","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.74664342403412","0.376294791698456","0.376294672489166","1.09757018834352","0.376294672489166","0.377798642700185","0.369911604519075","0.219443757086992","0.211583986878395","0.346183661720716","0.245016757398844","0.379494131590036","0.369810148162287","0.362945041328203","0.365355210058624","0.382624577439856","0.296258492395282","0.313813594169915","0.378023334957106","0.362988436580053","0.388747841033364","0.355455959477695","0.380728335493931","0.362438504293095","0.377646564728821","0.378997939407782","0.38732241808475","0.365321690485871","0.325704230228439","0.376294672489166","0.329588002758101","0.377836923875151","0.378188970845976","0.376294791698456",
